name,n_constr,n_vars,n_bounded_vars,continuous,integer,binary,folder,selected,all_bounded,optimal,optimum,oct_feas,oct_cost,oct_time,hand_checked,baron_cost,baron_time,baron_feas
flowchan50,1199,1200,0,1200,0,0,global,0,0,,Inf,,,,,,,
ganges,274,356,0,356,0,0,global,0,0,,Inf,,,,,,,
gasoil100,2599,2603,0,2603,0,0,global,0,0,,0.005236594,,,,,,,
gasoil200,5199,5203,0,5203,0,0,global,0,0,,0.005236596,,,,,,,
gasoil400,10399,10403,0,10403,0,0,global,0,0,,0.005236596,,,,,,,
gasoil50,1299,1303,0,1303,0,0,global,0,0,,0.00523664,,,,,,,
glider100,1210,1315,101,1315,0,0,global,0,0,,-1255.058601,,,,,,,
glider200,2410,2615,201,2615,0,0,global,0,0,,-1248.896362,,,,,,,
glider400,4810,5215,401,5215,0,0,global,0,0,,-1247.974318,,,,,,,
glider50,610,665,51,665,0,0,global,0,0,,-244053.1445,,,,,,,
gsg_0001,112,77,72,77,0,0,global,0,0,,2378.160513,,,,,,,
gtm,25,63,36,63,0,0,global,0,0,,Inf,,,,,,,
harker,8,20,0,20,0,0,global,0,0,,Inf,,,,,,,
haverly,10,12,2,12,0,0,global,0,0,,-400.0,,,,,,,
hhfair,26,29,3,29,0,0,global,0,0,,-87.15903761,,,,,,,
himmel16,22,18,0,18,0,0,global,0,0,,-0.866025404,,,,,,,
house,9,8,3,8,0,0,global,0,0,,-4500.0,,,,,,,
hs62,2,3,0,3,0,0,global,0,0,,-26272.54101,,,,,,,
hydro,25,31,18,31,0,0,global,0,0,,4.37e6,,,,,,,
infeas1,1615,273,212,273,0,0,global,0,0,,13685.59646,,,,,,,
jbearing100,1,5304,0,5304,0,0,global,0,0,,Inf,,,,,,,
jbearing25,1,1404,0,1404,0,0,global,0,0,,Inf,,,,,,,
jbearing50,1,2704,0,2704,0,0,global,0,0,,Inf,,,,,,,
jbearing75,1,4004,0,4004,0,0,global,0,0,,Inf,,,,,,,
korcge,78,95,0,95,0,0,global,0,0,,Inf,,,,,,,
launch,29,38,14,38,0,0,global,0,0,,2257.797558,,,,,,,
least,1,3,1,3,0,0,global,0,0,,0.0,,,,,,,
like,4,9,0,9,0,0,global,0,0,,-160.6243051,,,,,,,
linear,21,24,20,24,0,0,global,0,0,,Inf,,,,,,,
st_bpaf1b,11,10,10,10,0,0,global,0,1,,-42.9625576,true,-42.96255757,11.51600003,true,-42.9625576,0.327000141,true
mathopt2,5,2,0,2,0,0,global,0,0,,5.31e-35,,,,,,,
maxmin,78,26,24,26,0,0,global,0,0,,-0.366096008,,,,,,,
meanvar,3,8,7,8,0,0,global,0,0,,Inf,,,,,,,
methanol100,2998,3005,0,3005,0,0,global,0,0,,0.009022291,,,,,,,
methanol200,5998,6005,0,6005,0,0,global,0,0,,0.00902229,,,,,,,
methanol400,11998,12005,0,12005,0,0,global,0,0,,0.00902229,,,,,,,
methanol50,1498,1505,0,1505,0,0,global,0,0,,0.007930219,,,,,,,
mhw4d,4,5,0,5,0,0,global,0,0,,0.029310831,,,,,,,
minlphi,80,64,6,64,0,0,global,0,0,,582.236142,,,,,,,
minsurf100,1,5304,0,5304,0,0,global,0,0,,2.506949264,,,,,,,
minsurf25,1,1404,0,1404,0,0,global,0,0,,2.519487676,,,,,,,
minsurf50,1,2704,0,2704,0,0,global,0,0,,2.51488916,,,,,,,
minsurf75,1,4004,0,4004,0,0,global,0,0,,2.505686479,,,,,,,
nemhaus,6,5,0,5,0,0,global,0,0,,31.0,,,,,,,
otpop,77,103,16,103,0,0,global,0,0,,7.4e-16,,,,,,,
pindyck,97,116,0,116,0,0,global,0,0,,-1170.486285,,,,,,,
pinene100,4996,5005,0,5005,0,0,global,0,0,,19.87217015,,,,,,,
pinene200,9996,10005,0,10005,0,0,global,0,0,,19.87216708,,,,,,,
pinene50,2496,2505,0,2505,0,0,global,0,0,,19.87216552,,,,,,,
pollut,9,42,40,42,0,0,global,0,0,,Inf,,,,,,,
popdynm100,5593,5615,0,5615,0,0,global,0,0,,19746.5286,,,,,,,
popdynm200,11193,11215,0,11215,0,0,global,0,0,,19746.52965,,,,,,,
popdynm25,1393,1415,0,1415,0,0,global,0,0,,19752.21542,,,,,,,
popdynm50,2793,2815,0,2815,0,0,global,0,0,,19746.54516,,,,,,,
st_e03,8,10,10,10,0,0,global,0,1,,-1161.336602,false,-1161.366279,20.24100018,true,-1161.340086,0.596999884,true
prob07,36,14,0,14,0,0,global,0,0,,154990.2294,,,,,,,
st_e07,8,10,10,10,0,0,global,1,1,-400,-400.0,true,-399.9999782,8.676999807,true,-400.0,0.148999929,true
st_jcbpaf2,14,10,10,10,0,0,global,1,1,-794.855914,-794.855914,true,-480.6616991,11.64499998,true,-794.8559141,0.360000134,true
prolog,23,20,0,20,0,0,global,0,0,,0.0,,,,,,,
qp1,3,50,0,50,0,0,global,0,0,,Inf,,,,,,,
qp2,3,50,0,50,0,0,global,0,0,,Inf,,,,,,,
qp3,53,100,0,100,0,0,global,0,0,,0.000809315,,,,,,,
qp4,32,79,0,79,0,0,global,0,0,,Inf,,,,,,,
qp5,32,108,0,108,0,0,global,0,0,,Inf,,,,,,,
ramsey,23,33,10,33,0,0,global,0,0,,-2.487468639,,,,,,,
st_e16,10,12,12,12,0,0,global,1,1,12292.46728,12292.46728,true,15055.892,31.54399991,true,12292.46728,0.256999969,true
rocket100,503,607,200,607,0,0,global,0,0,,-1.012831902,,,,,,,
rocket200,1003,1207,400,1207,0,0,global,0,0,,-1.012835628,,,,,,,
rocket400,2003,2407,800,2407,0,0,global,0,0,,-1.012836339,,,,,,,
rocket50,253,307,100,307,0,0,global,0,0,,-1.0128171,,,,,,,
sambal,11,17,0,17,0,0,global,0,0,,Inf,,,,,,,
alkyl,8,14,14,14,0,0,global,1,1,-1.76499965,-1.764999646,false,-1.470106302,29.75699997,true,-1.765008501,0.25999999,true
ship,17,10,0,10,0,0,global,0,0,,Inf,,,,,,,
ex8_4_6,9,14,14,14,0,0,global,1,1,0.00110498 ,0.001104979,false,Inf,0.015000105,true,0.001091356,410.9820001,true
st_e30,16,14,14,14,0,0,global,0,1,,-1.58113883,true,-1.58113883,47.30900002,true,-1.581148293,0.231999874,true
st_bpk1,7,4,0,4,0,0,global,0,0,,-13.0,,,,,,,
ex8_4_5,12,15,15,15,0,0,global,1,1,0.00030749,0.000307486,true,0.000307517,128.7179999,true,0.000305333,2.847000122,true
ex5_4_3,14,16,16,16,0,0,global,0,1,,4845.462005,false,9396.859928,30.70900011,true,4845.462005,0.251000166,true
st_bsj2,6,3,0,3,0,0,global,0,0,,1.0,,,,,,,
ex5_3_2,17,22,22,22,0,0,global,1,1,1.86415946,1.864159459,false,1.869026098,36.33700013,,1.864152003,0.486999989,true
ex8_4_1,11,22,22,22,0,0,global,1,1,0.61857276,0.618572759,true,0.692271513,114.6040001,,0.618561178,1.754999876,true
st_cqpf,7,4,1,4,0,0,global,0,0,,Inf,,,,,,,
st_cqpjk1,3,4,2,4,0,0,global,0,0,,Inf,,,,,,,
ex2_1_8,11,24,24,24,0,0,global,1,1,15639,15639.0,true,32349.64373,137.0050001,,15639.0,0.378000021,true
ex8_4_2,11,24,24,24,0,0,global,1,1,0.48515249,0.485152487,false,2.380356587,184.9139998,,0.485141627,410.434,true
ex5_4_4,20,27,27,27,0,0,global,0,1,,10077.7754,false,9801.440764,64.93900013,,10077.7754,410.681,true
ex5_2_5,20,32,32,32,0,0,global,1,1,-3500,-3500.0,false,1535.966009,323.191,,-2.83e-5,411.204,true
ex8_4_3,26,52,52,52,0,0,global,1,1,0.00464972,0.004649716,true,2.004866421,273.852,,0.004645503,1.302000046,true
ex8_2_1a,32,55,55,55,0,0,global,1,1,100000000,-979.1782767,true,-978.4521925,238.4139998,,-979.1802324,0.648000002,true
ex8_2_4a,82,55,55,55,0,0,global,1,1,100000000,-1197.133097,true,-1196.415278,409.4909999,,-1197.133097,1.032999992,true
ex8_2_1b,34,57,57,57,0,0,global,1,1,-979.1782737,-979.1782737,true,-975.8198589,273.619,,-979.1831699,0.773000002,true
ex8_2_4b,88,61,61,61,0,0,global,1,1,-1197.131899,-1197.131899,false,Inf,279.526,,-1197.137885,1.385999918,true
ex5_3_3,54,62,62,62,0,0,global,1,1,3.23401822,3.234018224,false,Inf,350.4189999,,3.234008521,410.424,true
ex8_3_9,46,78,78,78,0,0,global,1,1,-0.76300193,-0.763001935,false,Inf,178.5799999,,0.55,0.821000099,true
ex8_3_14,72,110,110,110,0,0,global,1,1,-2.49863871,Inf,,,,,,,
ex8_3_2,77,110,110,110,0,0,global,0,1,,-0.412330185,,,,,,,
ex8_3_3,77,110,110,110,0,0,global,0,1,,-0.416603083,,,,,,,
ex8_3_4,77,110,110,110,0,0,global,0,1,,-3.579982383,,,,,,,
ex8_3_5,77,110,110,110,0,0,global,0,1,,-0.06911967,,,,,,,
ex8_3_6,77,110,110,110,0,0,global,0,1,,Inf,,,,,,,
ex8_3_1,77,115,115,115,0,0,global,0,1,,Inf,,,,,,,
ex8_3_11,77,115,115,115,0,0,global,0,1,,Inf,,,,,,,
ex8_3_13,73,115,115,115,0,0,global,0,1,,-43.08947815,,,,,,,
st_e25,9,4,0,4,0,0,global,0,0,,0.890193591,,,,,,,
ex8_3_12,82,120,120,120,0,0,global,0,1,,Inf,,,,,,,
st_e28,5,9,8,9,0,0,global,0,0,,-30665.53867,,,,,,,
ex8_3_7,93,126,126,126,0,0,global,0,1,,-1.232619191,,,,,,,
ex8_3_8,94,126,126,126,0,0,global,0,1,,-3.256119092,,,,,,,
ex8_3_10,109,141,141,141,0,0,global,0,1,,Inf,,,,,,,
st_e37,2,4,2,4,0,0,global,0,0,,0.00104172,,,,,,,
ex8_2_5a,3775,2510,2510,2510,0,0,global,0,1,,Inf,,,,,,,
st_e42,3,7,5,7,0,0,global,0,0,,18.7842,,,,,,,
st_fp7a,11,20,0,20,0,0,global,0,0,,-354.7506124,,,,,,,
st_fp7b,11,20,0,20,0,0,global,0,0,,-634.7506124,,,,,,,
st_fp7c,11,20,0,20,0,0,global,0,0,,-8695.012248,,,,,,,
st_fp7d,11,20,0,20,0,0,global,0,0,,-114.7506124,,,,,,,
st_fp7e,11,20,0,20,0,0,global,0,0,,-3730.410134,,,,,,,
st_fp8,21,24,0,24,0,0,global,0,0,,15639.0,,,,,,,
st_glmp_fp1,9,4,2,4,0,0,global,0,0,,10.0,,,,,,,
st_glmp_fp2,10,4,2,4,0,0,global,0,0,,7.344545418,,,,,,,
st_glmp_fp3,9,4,2,4,0,0,global,0,0,,-12.0,,,,,,,
st_glmp_kk90,8,5,2,5,0,0,global,0,0,,3.0,,,,,,,
st_glmp_kk92,9,4,2,4,0,0,global,0,0,,-12.0,,,,,,,
st_glmp_kky,14,7,2,7,0,0,global,0,0,,-2.5,,,,,,,
st_glmp_ss1,12,5,2,5,0,0,global,0,0,,-24.57142857,,,,,,,
st_glmp_ss2,9,5,2,5,0,0,global,0,0,,2.999999997,,,,,,,
ex8_2_5b,3799,2534,2534,2534,0,0,global,0,1,,Inf,,,,,,,
ex8_2_2a,1948,7510,7510,7510,0,0,global,0,1,,Inf,,,,,,,
ex8_2_2b,1960,7522,7522,7522,0,0,global,0,1,,Inf,,,,,,,
ex8_2_3a,3156,15636,15636,15636,0,0,global,0,1,,Inf,,,,,,,
st_m1,12,20,0,20,0,0,global,0,0,,-461356.9389,,,,,,,
st_m2,22,30,0,30,0,0,global,0,0,,-856648.8187,,,,,,,
st_pan1,5,3,0,3,0,0,global,0,0,,-5.283709184,,,,,,,
st_ph1,6,6,0,6,0,0,global,0,0,,-230.117284,,,,,,,
st_ph10,5,2,0,2,0,0,global,0,0,,-10.5,,,,,,,
st_ph11,5,3,0,3,0,0,global,0,0,,-11.28125,,,,,,,
st_ph12,5,3,0,3,0,0,global,0,0,,-22.625,,,,,,,
st_ph13,11,3,0,3,0,0,global,0,0,,-11.28125,,,,,,,
st_ph14,11,3,0,3,0,0,global,0,0,,-229.7222222,,,,,,,
st_ph15,5,4,0,4,0,0,global,0,0,,-392.7037037,,,,,,,
st_ph2,6,6,0,6,0,0,global,0,0,,-1028.117284,,,,,,,
st_ph20,10,3,0,3,0,0,global,0,0,,-158.0,,,,,,,
st_ph3,6,6,0,6,0,0,global,0,0,,-420.2348199,,,,,,,
st_phex,6,2,0,2,0,0,global,0,0,,-85.0,,,,,,,
st_qpc-m0,3,2,0,2,0,0,global,0,0,,-5.000000003,,,,,,,
st_qpc-m1,6,5,0,5,0,0,global,0,0,,-473.7777778,,,,,,,
st_qpc-m3a,11,10,0,10,0,0,global,0,0,,-382.695,,,,,,,
st_qpc-m3b,11,10,0,10,0,0,global,0,0,,0.0,,,,,,,
st_qpc-m3c,11,10,0,10,0,0,global,0,0,,0.0,,,,,,,
st_qpc-m4,11,10,0,10,0,0,global,0,0,,0.0,,,,,,,
st_qpk1,5,2,0,2,0,0,global,0,0,,-3.0,,,,,,,
st_qpk2,13,6,0,6,0,0,global,0,0,,-12.25,,,,,,,
st_qpk3,23,11,0,11,0,0,global,0,0,,-36.0,,,,,,,
ex8_2_3b,3161,15641,15641,15641,0,0,global,0,1,,Inf,,,,,,,
st_rv1,6,10,0,10,0,0,global,0,0,,-59.9439166,,,,,,,
st_rv2,11,20,0,20,0,0,global,0,0,,-64.4806951,,,,,,,
st_rv3,21,20,0,20,0,0,global,0,0,,-35.76067064,,,,,,,
st_rv7,21,30,0,30,0,0,global,0,0,,-138.1874971,,,,,,,
st_rv8,21,40,0,40,0,0,global,0,0,,-132.661629,,,,,,,
st_rv9,21,50,0,50,0,0,global,0,0,,-120.1531085,,,,,,,
st_z,6,3,0,3,0,0,global,0,0,,0.0,,,,,,,
torsion100,5,5308,5000,5308,0,0,global,0,0,,-0.418239213,,,,,,,
torsion25,5,1408,1250,1408,0,0,global,0,0,,-0.41751073,,,,,,,
torsion50,5,2708,2500,2708,0,0,global,0,0,,-0.418087632,,,,,,,
torsion75,5,4008,3750,4008,0,0,global,0,0,,-0.418199401,,,,,,,
turkey,288,518,60,518,0,0,global,0,0,,Inf,,,,,,,
wall,6,5,0,5,0,0,global,0,0,,Inf,,,,,,,
water,26,41,16,41,0,0,global,0,0,,904.9021593,,,,,,,
weapons,13,65,0,65,0,0,global,0,0,,Inf,,,,,,,
