name,n_constr,n_vars,n_bounded_vars,continuous,integer,binary,folder,selected,all_bounded,optimal,optimum,oct_feas,oct_cost,oct_time,hand_checked,baron_cost,baron_time,baron_feas
st_bsj3,2,6,6,6,0,0,global,0,1,,-86768.55,true,-86768.54928,24.19199991,true,-86768.55,0.2099998,true
st_bsj4,5,6,6,6,0,0,global,0,1,,-70262.05,true,-70262.04966,27.56500006,true,-70262.05,0.225999832,true
st_e21,7,6,6,6,0,0,global,0,1,,-13.40190356,true,-13.40190355,14.2900002,true,-13.40190356,0.187999964,true
st_e34,5,6,6,6,0,0,global,1,1,0.01561953 ,0.015619525,true,0.015619526,2.165999889,true,0.015619525,0.141000032,true
abel,15,30,0,30,0,0,global,0,0,,Inf,,,,,,,
arki0002,1977,2456,240,2456,0,0,global,0,0,,0.976844382,,,,,,,
arki0003,2583,2282,539,2282,0,0,global,0,0,,3795.206068,,,,,,,
arki0004,2082,2090,1047,2090,0,0,global,0,0,,323.4670388,,,,,,,
arki0005,5153,2370,2202,2370,0,0,global,0,0,,372.604724,,,,,,,
arki0008,5021,5072,0,5072,0,0,global,0,0,,Inf,,,,,,,
arki0009,6708,7714,412,7714,0,0,global,0,0,,-207096.6074,,,,,,,
arki0010,3428,4144,279,4144,0,0,global,0,0,,-187908.6905,,,,,,,
arki0015,1497,2093,1980,2093,0,0,global,0,0,,-272.2997782,,,,,,,
arki0016,2947,5047,2659,5047,0,0,global,0,0,,867.973166,,,,,,,
arki0017,2573,4332,1098,4332,0,0,global,0,0,,-121.8330801,,,,,,,
arki0018,10,9804,0,9804,0,0,global,0,0,,0.010456624,,,,,,,
arki0019,3,510,0,510,0,0,global,0,0,,-17.54532779,,,,,,,
arki0020,3,1262,0,1262,0,0,global,0,0,,-41.07495436,,,,,,,
arki0021,3,3187,0,3187,0,0,global,0,0,,-72.58210091,,,,,,,
arki0022,3,4152,0,4152,0,0,global,0,0,,Inf,,,,,,,
arki0024,26759,8676,53,8676,0,0,global,0,0,,Inf,,,,,,,
bayes2_10,78,86,85,86,0,0,global,0,0,,Inf,,,,,,,
bayes2_20,78,86,85,86,0,0,global,0,0,,0.000326088,,,,,,,
bayes2_30,78,86,85,86,0,0,global,0,0,,0.000107515,,,,,,,
bayes2_50,78,86,85,86,0,0,global,0,0,,0.52020774,,,,,,,
bearing,13,13,6,13,0,0,global,0,0,,Inf,,,,,,,
btest14,94,135,43,135,0,0,global,0,0,,-59.81738781,,,,,,,
camcge,243,279,0,279,0,0,global,0,0,,Inf,,,,,,,
camshape100,201,199,198,199,0,0,global,0,0,,-4.284147122,,,,,,,
camshape200,401,399,398,399,0,0,global,0,0,,-4.278500233,,,,,,,
camshape400,801,799,798,799,0,0,global,0,0,,-4.275696633,,,,,,,
camshape800,1601,1599,1598,1599,0,0,global,0,0,,-4.274306866,,,,,,,
catmix100,201,303,101,303,0,0,global,0,0,,-0.048069391,,,,,,,
catmix200,401,603,201,603,0,0,global,0,0,,-0.048059123,,,,,,,
catmix400,801,1203,401,1203,0,0,global,0,0,,-0.048056518,,,,,,,
catmix800,1601,2403,801,2403,0,0,global,0,0,,-0.048055839,,,,,,,
chain100,102,202,0,202,0,0,global,0,0,,5.069784611,,,,,,,
chain200,202,402,0,402,0,0,global,0,0,,5.068917342,,,,,,,
chain400,402,802,0,802,0,0,global,0,0,,5.068621695,,,,,,,
chain50,52,102,0,102,0,0,global,0,0,,5.072261494,,,,,,,
chakra,42,62,0,62,0,0,global,0,0,,-179.1335579,,,,,,,
chem,5,11,0,11,0,0,global,0,0,,-47.70651483,,,,,,,
chenery,39,43,38,43,0,0,global,0,0,,-1058.919856,,,,,,,
circle,10,2,0,2,0,0,global,0,0,,Inf,,,,,,,
dispatch,3,4,3,4,0,0,global,0,0,,3155.287927,,,,,,,
elec100,101,300,0,300,0,0,global,0,0,,4448.350634,,,,,,,
elec25,26,75,0,75,0,0,global,0,0,,243.8127603,,,,,,,
elec50,51,150,0,150,0,0,global,0,0,,1055.182315,,,,,,,
etamac,71,97,0,97,0,0,global,0,0,,-15.29467564,,,,,,,
ex14_1_1,5,3,2,3,0,0,global,0,0,,-7.99e-15,,,,,,,
ex14_1_2,10,6,5,6,0,0,global,0,0,,4.77e-16,,,,,,,
ex14_1_3,5,3,2,3,0,0,global,0,0,,-1.67e-16,,,,,,,
ex14_1_5,7,6,5,6,0,0,global,0,0,,-1.48e-14,,,,,,,
ex14_1_6,16,9,8,9,0,0,global,0,0,,0.0,,,,,,,
ex14_1_7,18,10,9,10,0,0,global,0,0,,0.0,,,,,,,
ex14_1_8,5,3,2,3,0,0,global,0,0,,0.0,,,,,,,
ex14_1_9,3,2,1,2,0,0,global,0,0,,-8.05e-16,,,,,,,
ex14_2_1,8,5,4,5,0,0,global,0,0,,3.81e-11,,,,,,,
ex14_2_2,6,4,3,4,0,0,global,0,0,,0.0,,,,,,,
ex14_2_3,10,6,5,6,0,0,global,0,0,,0.0,,,,,,,
ex14_2_4,8,5,4,5,0,0,global,0,0,,0.0,,,,,,,
ex14_2_5,6,4,3,4,0,0,global,0,0,,0.0,,,,,,,
ex14_2_6,8,5,4,5,0,0,global,0,0,,0.0,,,,,,,
ex14_2_7,10,6,5,6,0,0,global,0,0,,0.0,,,,,,,
ex14_2_8,6,4,3,4,0,0,global,0,0,,0.0,,,,,,,
ex14_2_9,6,4,3,4,0,0,global,0,0,,2.22e-15,,,,,,,
ex2_1_10,11,20,0,20,0,0,global,0,0,,49318.01796,,,,,,,
ex2_1_2,3,6,5,6,0,0,global,0,0,,-213.0,,,,,,,
ex2_1_3,10,13,10,13,0,0,global,0,0,,-15.0,,,,,,,
ex2_1_4,6,6,4,6,0,0,global,0,0,,-11.0,,,,,,,
ex2_1_7,11,20,0,20,0,0,global,0,0,,-4150.410134,,,,,,,
ex2_1_9,2,10,0,10,0,0,global,0,0,,-0.375,,,,,,,
ex3_1_3,7,6,4,6,0,0,global,0,0,,-310.0,,,,,,,
ex3_1_4,4,3,2,3,0,0,global,0,0,,-4.0,,,,,,,
ex4_1_5,1,2,1,2,0,0,global,0,0,,0.0,,,,,,,
ex6_1_1,7,8,4,8,0,0,global,0,0,,-0.020198312,,,,,,,
